item,itemLabel,fnames,lnames,itemDescription,birth,death,professions,summary
Q3767387,Giovanni Girolamo Gradenigo,Giovanni,,Italian archbishop (1708-1786),1708,1786,"archbishop, Catholic priest",
Q96471892,Q96471892,,,,,,painter,
Q94578185,Giannantonio Boni,,,,1772,1832,,
Q24707775,Mario Signoretto,Mario,,association football player,1900,,association football player,
Q3762403,Giambattista Cimador,Giambattista,,Italian composer and violinist,1761,1805,"composer, violinist",
Q3697686,Cristoforo Canal,Cristoforo,,Italian politician,1562,1602,politician,
Q28843185,Carlo Ottavio di Colloredo,Carlo,,,1723,1786,,
Q19409613,Antonio Porenzoni,Antonio,,,1301,1500,notary,
Q19514800,Antonio Manuzio,Antonio,,Venetian printer,1511,1559,"printer, bookseller, typographer, publisher",
Q41277810,Jan  Grevenbroeck (II),Jan,,,1731,1807,"painter, drawer",
Q1440918,Francesco Bertos,Francesco,Bertos,,1678,1741,sculptor,
Q54881048,Marchesina di Brienne,,,,,,Dogaressa,
Q17285108,Giuseppe Manzoni,Giuseppe,Manzoni,Italian writer,1742,1811,writer,
Q54881062,Lucia Ruzzini,Lucia,,,,,Dogaressa,
Q54425079,Silvestro Castellini,Silvestro,Castellini,,1576,1630,,
Q91495982,Biagio Rossetti,Biagio,Rossetti,Italian organist of the Renaissance,1500,1547,organist,
Q3767173,Giovanni Ermanno Ligozzi,Giovanni,,Italian painter (1525-1605),1525,1605,painter,
Q3643671,Brandolino VI Brandolini,,,Italian condottiero,1611,1652,condottiero,
Q329088,Giovanni Cavino,Giovanni,Cavino,Italian sculptor (1500-1570),1500,1570,"goldsmith, engraver, sculptor, medallist, medal cutter",
Q26208282,Maria Cecilia Guardi,Maria,,"Italian art model, wife of Giovanni Battista Tiepolo",1702,1779,art model,
Q3638963,Bertrando Rossi,Bertrando,Rossi,,1336,1396,diplomat,
Q2846316,Andrea Chiocco,Andrea,Chiocco,,1562,1624,physician,
Q65680113,Q65680113,Giuseppe,,,1686,1768,"painter, sculptor",
Q3902937,Pier Paolo Celega,Pier Paolo,,Italian architect,,1417,architect,
Q27999314,Augusto Chigi,Augusto,,,1662,1744,,
Q3750179,Francesco Luigi Fanzago,"Francesco, Luigi",Fanzago,Italian physician,1764,1836,physician,
Q55226344,Girolamo Canal,Girolamo,Canal,,1483,1535,"sailor, military personnel",
Q55227758,Nicolò Filippo Foscarini,Nicolò,,,1732,,,
Q21587872,Q21587872,,Rossi,,1574,1593,military leader,
Q3779126,Guidarello Guidarelli,,,Italian condottiero,1450,1501,condottiero,
Q54880963,Taddea Michiel,Taddea,Michiel,,,,Dogaressa,
Q16571987,Leonardo Dolfin,Leonardo,Dolfin,,1353,1415,Catholic priest,
Q46366850,Andrea Spinelli,Andrea,Spinelli,"Italian medalist, sculptor, and bookbinder, 1508-1572",1508,1572,,
Q64605663,Q64605663,,,,1270,1330,,
Q3768429,Giovanni da Padova,Giovanni,,Italian architect,1428,1499,architect,
Q32904788,Domenico Maria Pellegrini,Domenico,,,1737,1820,"librarian, religious",
Q28374120,Daniele Francesconi,,,,1761,1835,scientist,
Q3893672,Paolo Abriani,Paolo,Abriani,Italian poet and theologian,1607,1699,"poet, theologian",
Q22137766,Q22137766,Guido,,,,1380,priest,
Q26899109,Agostino Chigi,Agostino,,,1634,1705,,
Q30018214,Giovanni Vitalba,Giovanni,,,1738,1792,"engraver, etcher",
Q88556693,Pietro Duodo,,,,,,politician,
Q19984713,Simon Eremian,Simon,,,1871,1938,writer,
Q23835839,Giovanni Buich,Giovanni,,association football player,1916,,association football player,
Q38573389,Giovanni Francesco Costa,"Giovanni, Francesco",Costa,"Italian architect, painter and scenographer, 1711-1772",1711,1773,"architect, engraver, painter, drawer",
Q18223945,Girolamo II Martinengo,Girolamo,,Italian condottiero,1575,1637,condottiero,
Q3768974,Girolamo Pompei,Girolamo,Pompei,Italian poet,1731,1788,poet,
Q16583541,Octaviano Maggi,,Maggi,,,1586,Renaissance humanist,
Q1070430,Cherubino Busatti,Cherubino,,Italian organist and monk,1700,1644,"composer, monk, organist",
Q3664313,Celso Maffei,Celso,Maffei,Italian erudite,1425,1508,"religious, literary, bibliophile",
Q64624109,Q64624109,Tommaso,,,1650,1729,painter,
Q680308,Rodolfo Gabrielli,Rodolfo,Gabrielli,,1034,1064,priest,
Q41618802,Giovanni Prosdocimo Zabeo,Giovanni,,1753-1828,1780,1815,,
Q16542292,Claudio II Gonzaga,Claudio,Gonzaga,,1644,1708,,
Q92275704,Gian Francesco Torresani,Gian,Torresani,"Gian Francesco Torresani, b. 1498 in Asola; d. in Venice between July 9, 1557, and March 8, 1558; Italian printer and successor to Aldo Manuzio",1498,1557,"printer, publisher",
Q92923994,Orsotto Giustinian,,,,1394,,,
Q30308589,Bartolomeo Tortoletti,Bartolomeo,,,1560,1647,"poet, theologian, legal counsel, hellenist",
Q48808336,Q48808336,,,,,1345,,
Q3903749,Pietro Cappello,Pietro,Cappello,Italian politician,1676,1729,"politician, diplomat",
Q27999316,Q27999316,Gaspare,Altieri,,1650,1720,,
Q3726083,Enrico Uziel,Enrico,Uziel,,1842,1860,,
Q16657844,Michelangelo Biondo,Michelangelo,Biondo,Italian physician,1500,_:t2,physician,
Q3290043,Marco Antonio Zucchi,Marco,,"Italian monk, preacher and poet",1750,1764,"actor, poet",
Q27999328,Fabio Bonvicini,Fabio,Bonvicini,,1660,1715,military personnel,
Q3903844,Pietro Domenico Polfranceschi,Pietro,,Italian politician,1766,1845,politician,
Q3606766,Agostino Gradenigo,Agostino,Gradenigo,Italian Patriarch (1570-1629),1570,1629,patriarch,
Q31823797,Bartolomeo dal Pozzo,Bartolomeo,,,1637,1722,historian,
Q27652704,Giovanni Antonio Astori,"Giovanni, Antonio",,Italian cleric and philologist,1672,1743,"cleric, philologist",
Q19130448,Q19130448,Girolamo,,,1492,1566,poet,
Q17341062,Carlo Zilli,Carlo,,,1770,1819,"priest, poet",
Q19944440,Egor Petrovich Psomas,,,,1670,1718,"teacher, physician, minister, scholar",
Q21542309,Leonardo Targa,Leonardo,Targa,Italian physician and historian of medicine,1730,1815,"physician, medical historian",
Q17453190,Fresco d'Este,,,Italian politician,1280,1312,politician,
Q339285,Orso Orseolo,Orso,,Italian politician (988-1049),0988,1049,politician,
Q94506269,Cornelia Gritti,,,,1719,1808,,
Q18945105,Bonaiuto Lorini,,,circa 1540-circa 1611,1547,1611,architect,
Q60818787,Angelo Moro Lin,Angelo,,,1831,1898,stage actor,
Q16557162,Francesco Contarini,Francesco,Contarini,Italian politician,1421,1475,"politician, diplomat",
Q61605585,Paleologos Cornaro del Carpasso,,,,,,"military personnel, feudatory",
Q18603800,Paolo Savin,Paolo,Savin,Italian sculptor,,,sculptor,
Q16575786,Marco Carelli,Marco,Carelli,"Italian merchant, private banker and philanthropist",1320,1394,"merchant, banker, philanthropist",
Q59530703,Arcangelo Agostini,Arcangelo,Agostini,,1660,1746,"theologian, religious, literary",
Q86596406,Francesco Foscari,Francesco,,,1704,1790,,
Q37462583,Geminiano Cozzi,Geminiano,,,1728,1798,"entrepreneur, ceramicist",
Q94578214,Antonio Camerra,Antonio,,,1775,1855,,
Q27478552,Girolamo Francesco Zanetti,"Girolamo, Francesco",,"Italian numismatist, archaeologist",1713,1782,"university teacher, numismatist, archaeologist, translator, jurist",
Q3767730,Giovanni Meneghetti,Giovanni,Meneghetti,Italian composer,1731,1794,composer,
Q3638694,Bernardino Brugnoli,Bernardino,,Italian architect,1539,1584,architect,
Q54880791,Elisabetta Pisano,Elisabetta,Pisano,,,,Dogaressa,
Q3739406,Fantina Polo,,Polo,,1303,,,
Q2863623,Arrigo Licinio,Arrigo,Licinio,,1450,1551,painter,
Q54880961,Tommasina Morosini,Tommasina,,,,,Dogaressa,
Q98456048,Q98456048,,,,1792,1860,"painter, restorer",
Q18342350,Bartolomeo da San Vito,Bartolomeo,,Italian sculptor (1450-1511),1450,1511,sculptor,
Q48808340,Q48808340,Bartolomeo,,,1534,1570,civil servant,
Q3875886,Niccolò Polo,Niccolò,Polo,Italian explorer,1200,1294,explorer,
Q55226871,Matteo Dandolo,Matteo,Dandolo,,1741,1812,writer,
Q3620287,Antonio Vaira,Antonio,Vaira,,1649,1732,"Catholic priest, catholic deacon",
Q23818843,Gabriele Gualdo,Gabriele,Gualdo,Italian theologian,1659,1743,theologian,
Q3768261,Giovanni Trevisan,Giovanni,Trevisan,roman-catholic patriarch,1503,1590,,
Q56006036,Pietro Antonio Perotti,Pietro,Perotti,Italian artist,1712,1793,artist,
Q80816832,Q80816832,Giovanni,,,1419,1483,diplomat,
Q3635361,Bartolomeo Cordans,Bartolomeo,,Italian composer,1698,1757,composer,
Q3608293,Alberto della Piagentina,Alberto,Della Piagentina,Italian poet,,1332,poet,
Q3107295,Giovanni Paolo Gallucci,Giovanni,,Italian astronomer,1538,1621,astronomer,
Q21208740,Q21208740,Bartolomeo,,,1487,1558,,
Q3703000,Daulo Augusto Foscolo,"Augusto, Daulo",Foscolo,Italian patriarch,1785,1860,Catholic priest,
Q55045349,Q55045349,Giovanni,,,1497,1559,"ambassador, shipowner",
Q18222849,Placido Bordoni,Plácido,,Italian historian,1736,1825,historian,
Q27061923,Girolamo Pittoni,Girolamo,,,1490,1568,"architect, sculptor",
Q19833204,Costanzo da Ferrara,,,"medallist and painter active in Ferrara, Italy",1450,1524,"painter, medallist",
Q3856638,Michele Grimani,Michele,Grimani,,1697,1775,,
Q3953807,Sebastiano da Milano,Sebastiano,,Italian sculptor (1470-1525),1470,1525,sculptor,
Q25550456,Domenico David,Domenico,David,Italian librettist,1650,1698,librettist,
Q23062854,Antonio de Filistri da Caramondani,Antonio,,,1760,1811,writer,
Q1164914,"Marco Cornaro, Patrician of Venice",Marco,,"Patrician of Venice, father of queen Catherine Cornaro",1406,1479,patrician,
Q17341118,Luigi Martignon,Luigi,,,1791,1837,poet,
Q16524699,Agostino Bonaventura Coletti,Agostino,,Italian organist and composer,1680,1752,"composer, organist",
Q93578648,Francesco Martinengo Colleoni,Francesco,,Italian condottiero,1548,1621,military leader,
Q21596690,Q21596690,,,,,,"writer, poet",
Q15710332,Giulio Ferrari,Giulio,Ferrari,Italian writer (1712-1792),1712,1792,writer,
Q3904158,Pietro Pezzi,Pietro,,Italian physician and writer,1757,1826,"writer, physician",
Q1237211,Domenico Morosini,Domenico,Morosini,,1768,1842,,
Q94529812,Antonio Cicuto,Antonio,,,1766,1831,,
Q21167309,Giacomo Borlone de Buschis,Giacomo,"Borlone, de Buschis",,_:t2,_:t2,painter,
Q56257320,Gerasimos Orfanos,,,,,,stage actor,
Q3701587,Daniel Dal Barba,Daniel,,Italian composer,1715,1801,composer,
Q28145404,Francesco Maria d'Este,"Francesco, Maria",,"legitimate natural son of Duke Francis III of Modena, commendatory abbot of Nonantola, bishop of Reggio Emilia",1743,1821,Catholic priest,
Q18758604,Giovanni Carrara,Giovanni,Carrara,Italian archaeologist,1806,1850,archaeologist,
Q3766745,Giovanni Battista Sanudo,Giovanni Battista,,,1642,1709,"Catholic priest, catholic deacon",
Q100315377,Osvaldo Brussa,,,Italian glass painter (1746-1828),1746,1828,glass painter,
Q3904103,Pietro Nachini,Pietro,,Italian organist,1694,1769,organist,
Q12043287,Ottavio Mosto,Ottavio,,,1659,1701,sculptor,
Q2526858,Vincenzo Cassani,Vincenzo,Cassani,Italian author,1677,,"writer, author",
Q30076214,Giambattista Pagliarino,,,,1415,1506,writer,
Q16657849,Antonio Boldù,Antonio,,Italian politician,1450,1497,"politician, diplomat",
Q1564476,Marco Contarini,Marco,Contarini,,1631,1689,diplomat,
Q12627540,Baldo Lupetino,Baldo,,Venetian Franciscan monk,1505,1556,theologian,
Q91171488,Francesco Contarini,Francesco,,,1477,1558,,
Q41701465,Q41701465,Giovanni,,,,,,
Q3766800,Giovanni Benedetti,Giovanni,Benedetti,,1370,1437,Catholic priest,
Q48809114,Q48809114,,,,1255,1307,military leader,
Q23925290,Spiridione Petrettini,Spiridione,,Italian historian (1777-1833),1777,1833,historian,
Q91337575,Donato Bertelli,Donato,Bertelli,"Italian, 16th century, male. Active in Venice c. 1568-1574. Print publisher, engraver (?).",,,,
Q19291619,Michele Tramezzino,Michele,,publisher (1501-1579),1526,1579,"printer, publisher, Q3968084",
Q94578173,Pietro Biagi,,,,1770,1848,,
Q19404437,Giulio Foscolo,Giulio,Foscolo,,1787,1838,military personnel,
Q24463904,Girolamo Venier,,,Italian composer,1650,1735,composer,
Q30558939,Q30558939,Giovanni,,,,1257,,
Q61481819,Marco Ruzini,Marco,,Venetian politician (17th century),1601,1700,politician,
Q3034782,Domenico da Tolmezzo,Domenico,,Italian painter and sculptor (1448-1507),1448,1507,"painter, sculptor",
Q3078395,Forte Gabrielli,,Gabrielli,,0970,1040,"hermit, monk",
Q18811895,Giovan Battista Danti,Giovan,,Italian mathematician and engineer,1478,1517,"engineer, mathematician",
Q37789008,Francesco Galimberti,Francesco,Galimberti,"Italian painter and engraver, 1755-1803",1755,1803,"engraver, painter, drawer",
Q16487935,Alvise Bragadin,Alvise,Bragadin,,1500,1575,"typographer, publisher",
Q16574305,Luigi Nogarola,Luigi,,Italian poet and librettist,1669,1715,"poet, librettist",
Q95036089,Giuseppe Moro,,,,1772,,military officer,
Q3638741,Bernardino da Morcote,Bernardino,,Italian architect and sculptor,,1542,"architect, sculptor",
Q11924258,Giovanni Battista Giuseppe Biancolini,"Giovanni, Giovanni Battista",,merchant and historian (1697-1780),1697,1780,"writer, historian, merchant, erudite",
Q96582790,Q96582790,,,,,,"trombonist, trumpeter",
Q95880608,Giustiniano da Rubiera,,,,,,,
Q3638690,Bernardino Benali,Bernardino,,Italian typographer,1458,1543,typographer,
Q58390853,Giangiacomo dé Grigi,,,,,1572,architect,
Q3903995,Pietro Leonardi,Pietro,Leonardi,Italian priest,1769,1844,priest,
Q3276375,Maestro dei fiori guardeschi,,,Italian painter,1750,,painter,
Q21208761,Pierantonio Meneghelli,Pier,,born 1749; died 1819,1749,1819,writer,
Q3856441,Michelangelo Gasparini,Michelangelo,Gasparini,Italian composer and singer,1670,1732,"composer, singer, opera singer",
Q3749683,Francesco Brusa,Francesco,Brusa,Italian composer and organist,1700,1768,"composer, organist",
Q5699466,Antonio Querenghi,Antonio,,Italian poet,1546,1633,poet,
Q87069832,Alvise Bragadin,Alvise,Bragadin,,1432,1503,"politician, merchant",
Q2337938,Antonio Turra,Antonio,,Italian physician and botanist (1730–1796),1730,1796,"physician, botanist",
Q18508616,Pietro Mera,Pietro,,,1570,1644,painter,
Q3762105,Giacomo Franco,Giacomo,Franco,"Italian architect, painter, and etcher (1550-1620)",1550,1620,"painter, graphic artist",
Q18819239,Giulia Bigolina,Giulia,,Italian writer,1518,1569,writer,
Q18911192,Lorenzo Venier,Lorenzo,Venier,,1510,1550,poet,
Q16939344,Cristoforo Sorte,Cristoforo,,Italian cartographer,1510,1595,cartographer,
Q1905637,Martino Pesenti,Martino,Pesenti,Italian composer,1600,1648,composer,
Q59630395,Giovanni Giacomo Caroldo,"Giovanni, Giacomo",Caroldo,"born:1480|died:1538-06-03|; Caroldo, Gian Giacomo, -1538; Caroldo, Giangiacomo, asi 1480-1539; Caroldo, Gian Giacomo, ca. 1480-1538; Caroldo, Gian Giacomo 1480?-1539; Caroldo, Giovanni Giacomo (ca 1480-1538); Caroldo, J. J. ок.1480-1538 Joan Jacomo",1480,1538,"diplomat, chronicler",
Q668959,Giorgio Corner,Giorgio,Corner,Italian politician (1374-1439),1374,1439,politician,
Q2215682,Salvatore Dal Negro,Salvatore,Dal Negro,Italian physicist,1768,1839,"physicist, university teacher",
Q18945822,Vincenzo Formaleoni,Vincenzo,,1752-1797,1752,1797,historian,
Q30524276,Pietro Paolo Bissari,Pietro,,,1595,1663,poet,
Q18223412,Andrea Foscolo,Andrea,Foscolo,Italian politician and soldier,1450,1528,"politician, diplomat, soldier",
Q3561167,Vitale Zuccolo,Vitale,,,1556,1630,theologian,
Q93118168,Sante Pinardi,Sante,,,1576,1660,religious,
Q3770059,Giuseppe Barbieri,Giuseppe,Barbieri,Italian architect and engineer (1777-1838),1777,1838,"architect, engineer",
Q12880267,Loise Podocataro,,,,,,priest,
Q21091848,Lorenzo Busnardo,Lorenzo,,chess player,1532,1598,"priest, chess player",
Q94525894,Franz Heinrich Trois,Franz,,,1780,1854,physician,
Q54880907,Andreana Priuli,Andreana,,,,,Dogaressa,
Q11692816,Daniele Andrea Delfino,Daniele,,Italian politician,1748,1798,"politician, diplomat, aristocrat",
Q18945822,Vincenzo Formaleoni,Vincenzo,,1752-1797,1752,1797,historian,
Q54880774,Giustina Guistiniani,Giustina,,,,,Dogaressa,
Q15921921,Giovanni Carafa della Spina,Giovanni,,,1671,1743,military personnel,
Q3893658,Paolino da Venezia,,,Italian politician and writer,1270,1344,"writer, politician",
Q94578678,Jakob Franz Colludrowitz,Jakob,,,1744,1830,physician,
Q30232421,Daniel Curz,Daniel,,,1753,1822,choreographer,
Q21207738,Alvise Dardani,Alvise,,,1429,1511,notary,
Q41569391,Teofilo Ferrari,Teofilo,Ferrari,Italian theologian and philosopher,1431,1493,"theologian, philosopher",
Q21855643,Palladio Negri,,Negri,Italian Renaissance humanist and teacher (1450-1520),1450,1520,"teacher, Renaissance humanist",
Q17341125,Marco Spranzi,Marco,Spranzi,,1762,1832,poet,
Q7000547,Giovanni Battista Quadri,Giovanni,,"Italian physician, surgeon and teacher",1780,1851,"teacher, physician, surgeon",
Q12318916,Jacopo Fabris,Jacopo,Fabris,Italian painter (1689-1761),1689,1761,painter,
Q21548520,Girolamo Lippomano,Girolamo,,,1460,1527,entrepreneur,
Q43288821,Q43288821,"Domenico, Clemente",Rospigliosi,,1674,1752,,
Q11762595,Lorenzo Bernardo,Lorenzo,Bernardo,,1534,1592,ambassador,
Q43265689,Luigi Pizzi,Luigi,Pizzi,"Born 1759, in Verona; died 19 January 1821, in Padua. Italian, Engraver (burin), draughtsman.",1759,1821,"engraver, drawer",
Q16887927,Francesco Corradini,Francesco,Corradini,Italian composer,1700,1769,composer,
Q3080911,Francesco Bonafede,Francesco,Bonafede,botanist (1474-1558),1474,1558,botanist,
Q28374230,Giovanni Perlotto,Giovanni,,,,,Renaissance humanist,
Q3615533,Andrea Bon,Andrea,Bon,,,1466,Catholic priest,
Q56006563,Tiziano Minio,,,,1517,1552,sculptor,
Q88165766,Giovanni Moro,Giovanni,,,1542,1592,"politician, ambassador",
Q22231575,Giovanni Agostino Gradenigo,"Giovanni, Agostino",,Italian historian and bishop,1725,1774,"historian, Catholic priest",
Q26678228,Luigi Zanetti,Luigi,Zanetti,,1560,1611,typographer,
Q55833410,Q55833410,Pietro,,,1425,1476,politician,
Q3767650,Giovanni Maria Boldù,Giovanni,,Italian politician,1547,1624,politician,
Q3081039,Francesco Novelli,Francesco,Novelli,Italian painter and engraver (1764-1836),1764,1836,"painter, printmaker",
Q15921958,Giovanni Bembo,Giovanni,Bembo,Italian philologist,1473,1545,philologist,
Q61480782,Marcantonio Morosini,Marcantonio,,magistrate (1434-1509),1434,1509,magistrate,
Q16590374,Pietro Bembo,Pietro,Bembo,"Italian catholic bishop, great-grandson of Cardinal Pietro Bembo",1536,1589,Catholic priest,
Q3876532,Nicolò Angelo Sagredo,Nicolò,Sagredo,Italian archbishop,1728,1804,"Catholic priest, catholic deacon",
Q43265689,Luigi Pizzi,Luigi,Pizzi,"Born 1759, in Verona; died 19 January 1821, in Padua. Italian, Engraver (burin), draughtsman.",1759,1821,"engraver, drawer",
Q3659411,Carlo Gaudenzio Mignocchi,Carlo,,Italian painter (1666-1716),1666,1716,painter,
Q88300377,Bartolomeo Ratti,Bartolomeo,,,1565,1634,"composer, organist, religious",
Q21548719,Pietro Lucchesi,Pietro,Lucchesi,,1745,1823,,
Q28599377,Ottavio Bocchi,Ottavio,Bocchi,,1697,1749,archaeologist,
Q3613832,Ambrogio Fusinieri,Ambrogio,,Italian scientist,1775,1853,scientist,
Q3750851,Francesco de' Monti,Francesco,,,,1505,diplomat,
Q850346,Giovanni Michele Bruto,Giovanni,,,1517,1592,writer,
Q59708405,Simone Gionima,Simone,,Italian artist,1656,1731,"engraver, painter, etcher",
Q94507033,Peter Anton der Jüngere Zorzi,Peter,,,1766,1849,,
Q31199922,Hicela Orseolo,,Orseolo,,,,,
Q3638068,Benedetto Da Lezze,Benedetto,,Italian politician,1578,1623,politician,
Q16575739,Marco Antonio Pellegrini,Marco,Pellegrini,,1530,1616,"lawyer, civil servant",
Q47478296,Nicolò Bertucci Contarini,Nicolò,"Contarini, Bertucci",Italian naturalist (1780-1849),1780,1849,"naturalist, writer, entomologist",
Q3767388,Giovanni Girolamo Nadal,Giovanni,,,,1383,Renaissance humanist,
Q99702411,Simone Gliubavaz,,,Dalmatian historian,1608,1663,historian,
Q48809211,Q48809211,,,,,1215,military leader,
Q3903621,Pietro Acotanto,Pietro,,Italian monk,1150,1187,monk,
Q3767337,Giovanni Garzoni,Giovanni,Garzoni,Italian politician,1353,1427,"politician, diplomat",
Q17638363,Parrasio Micheli,,Micheli,Italian painter (1516-1578),1516,1578,painter,
Q21282177,Antonio Vinciguerra,Antonio,,,1440,1502,politician,
Q3623532,Arnaldo Speroni degli Alvarotti,Arnaldo,,,1728,1800,Catholic priest,
Q3619444,Antonio Contarini,Antonio,Contarini,roman-catholic patriarch,1450,1524,,
Q584388,Luigi Carrer,Luigi,Carrer,"Italian publisher, writer and journalist",1801,1850,"writer, poet, journalist, publisher, literary critic",
Q3766865,Giovanni Bonazza,Giovanni,Bonazza,Italian sculptor (1654-1736),1654,1736,sculptor,
Q2857398,Antonio Piazza,Antonio,Piazza,"Italian journalist, playwright, novelist and librettist",1742,1825,"playwright, journalist, novelist, librettist",
Q3297299,Maso di Bartolomeo,,,"Italian architect, sculptor and goldsmith",1406,1456,"architect, goldsmith, sculptor",
Q94578521,Gaspare Leonarducci,,,,1685,1752,,
Q3051111,Elisabetta Lazzarini,Elisabetta,Lazzarini,Italian painter (1662-1729),1662,1729,painter,
Q3615554,Andrea Buora,Andrea,Buora,Italian architect and sculptor,,1556,"architect, sculptor",
Q3106933,Giovan Battista Balbi,Giovan,,,1650,,choreographer,
Q16550360,Domenico Dominici,Domenico,Dominici,Italian catholic bishop and theologian,1416,1478,"Catholic priest, theologian",
Q97360614,Q97360614,Leonardo,,,1730,1815,physician,
Q19291619,Michele Tramezzino,Michele,,publisher (1501-1579),1526,1571,"printer, publisher, Q3968084",
Q74713829,Giovanni Pietro Salvaterra,Giovanni,,,1687,1743,painter,
Q3741685,Federico Crisogono,Federico,Crisogono,Italian scientist,1472,1538,"physician, mathematician",
Q55228366,Orsatto Giustinian,,Q64031004,,1538,1611,,
Q11727341,Joachim Torriani,Joachim,Torriani,,1417,1500,Catholic priest,
Q47491670,Paolo Guidolini,Paolo,,,1742,1798,painter,
Q16525775,Amalia Vidari-Griffoni,Amalia,,Italian actor,1701,1840,"actor, teacher, stage actor",
Q3779055,Guglielmo da Venezia,Guglielmo,,Italian painter (1353-1382),1353,1382,painter,
Q16557307,Francesco Luigi Gonzaga,Francesco,Gonzaga,Italian politician and mayor,1763,1832,politician,
Q3741616,Federico Badoer,Federico,Badoer,Italian politician,1519,1593,politician,
Q1500124,Ermes Flavio de Bonis,,,,1460,1514,"architect, sculptor",
Q3767939,Giovanni Pietro Aurelio Mutti,Giovanni,,Italian patriarch,1775,1857,"patriarch, Catholic priest, catholic deacon",
Q65346313,Q65346313,,,,1551,1627,politician,
Q62630200,Eriprando Giuliari,Eriprando,,,1728,1805,Jesuit,
Q1140461,Cristoforo Sabbadino,Cristoforo,,Italian engineer,1489,1560,engineer,
Q15958417,Domenico Bollani,Domenico,Bollani,Italian politician,,1504,"politician, diplomat",
Q2215682,Salvatore Dal Negro,Salvatore,Dal Negro,Italian physicist,1768,1839,"physicist, university teacher",
Q676528,Celio Malespini,Celio,,Italian writer,1531,1609,"writer, adventurer, soldier",
Q42153478,Antonio Manzoni,Antonio,Manzoni,,1746,1819,"physician, surgeon, obstetrician",
Q55891617,Panfilo Persico,,Persico,,1571,1625,,
Q30528417,Giovanni Battista Nicolini,Giovanni Battista,Nicolini,Italian politician,1794,1870,politician,
Q19402567,Eustachio Celebrino,Eustachio,,,1490,1535,"writer, engraver, calligrapher",
Q61483002,Francesco Ziletti,Francesco,,Venetian publisher (-1587),,1587,publisher,
Q15694807,Girolamo Dalla Corte,Girolamo,,Italian historian,1529,,"writer, historian",
Q16054416,Antonio Christofori,Antonio,,Italian musician,1701,1737,"musician, painter",
Q3259452,Lorenzo Altieri,Lorenzo,Altieri,Italian cardinal (1671-1741),1671,1741,"Catholic priest, catholic deacon",
Q55225600,Giovanni Maria Bertolli,Giovanni,,,1678,,,
Q3762101,Giacomo Filippo Tomasini,"Jacobus, Giacomo, Philippus",Tomasini,Italian historian,1595,1655,historian,
Q54880849,Constanza di Sicilia,Constanza,,,,,Dogaressa,
Q21207300,Q21207300,Giovanni,,,1631,1707,jurist,
Q61475544,Nicolò Donado,,,Venetian politician (18th century),1601,1800,politician,
Q16742018,Pietro de Fossis,Pietro,De Fossis,,1450,1527,composer,
Q3105109,Jacopo del Torso,Jacopo,,Italian cardinal,1350,1413,Catholic priest,
Q2979583,Clorinda Renieri,Clorinda,,,1650,,painter,
Q2932838,Bartolomeo Cipolla,Bartolomeo,Cipolla,Italian jurist,1420,1475,jurist,
Q23309471,Ferrante de' Rossi,Ferrante,,,1545,1618,military personnel,
Q3619968,Antonio Ongaro,Antonio,Ongaro,Italian poet,1560,1599,poet,
Q54880871,Benedetta Vendramin,Benedetta,,,,,Dogaressa,
Q3629584,Augusto Antonio Zacco,Augusto,,,1662,1739,Catholic priest,
Q89127108,Marco Antonio Corner,"Antonio, Marco",,,1493,1543,,
Q29635990,Antonio Papadopoli,Antonio,,,1802,1844,,
Q3766475,Giovanni Antonio Volpi,"Giovanni, Antonio",Volpi,"Italian literary critic, publisher and poet",1686,1766,"poet, publisher, literary critic",
Q3762416,Giambattista Mariotti,Giambattista,Mariotti,Italian painter (1690-1749),1690,1749,painter,
Q9160088,Arnaldo Cataneo,Arnald,,,1185,1255,Catholic priest,
Q1440904,Francesco Apostoli,Francesco,Apostoli,Italian writer (1755-1816),1755,1816,writer,
Q54880868,Caterina Loredan,Caterina,Loredan,,,,Dogaressa,
Q19569565,Domenico Lovisa,Domenico,Lovisa,Italian ca. 1690–ca. 1750 F:0,1690,1750,painter,
Q3769661,Giulio Gherlandi,Giulio,Gherlandi,,1520,1562,,
Q88944133,Stefano Contarini,Stefano,Contarini,,,,,
Q1522301,Gian Girolamo Zannichelli,Gian,,botanist and pharmacologist (1662-1729),1662,1729,"pharmacologist, botanist",
Q28155144,Camillo Silvestri,Camillo,Silvestri,,1645,1719,"historian, translator, erudite",
Q6999497,Germanico Savorgnan,,,Italian architect and condottiero,1554,1597,"architect, condottiero",
Q3927992,Quirina Mocenni Magiotti,,,,1781,1847,,
Q92924666,Giovanni Matteo Picchi,,,,,1643,,
Q22233521,Giovan Jacopo Dionisi,"Giovanni, Jacopo",,Italian librarian and historian (1724-1808),1724,1808,"librarian, historian, archaeologist, literary critic",
Q16590405,Pietro Cocco,Pietro,,,,1406,Catholic priest,
Q3839134,Ludovico Odasio,Ludovico,,author (-1510),1455,1510,"translator, Renaissance humanist",
Q74422888,Alessandro Lisca,,,,1550,,legal counsel,
Q41569315,Gaudenzio Fagienci,Gaudenzio,,author (16th century),1501,1600,,
Q3761984,Giacomo Badoer,Giacomo,Badoer,Italian politician and merchant,1403,1445,"politician, merchant",
Q3771356,Giuseppe Rospigliosi,Giuseppe,Rospigliosi,Italian politician,1755,1833,politician,
